Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID
96,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673699927597,2673699937138,0
97,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673699995791,2673700004090,0
98,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673701831513,2673701851558,0
99,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673703677818,2673703687921,0
104,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673705655861,2673705667327,0
103,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673705076468,2673705086130,0
102,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673704473782,2673704480678,0
101,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673703827597,2673703834453,0
100,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673703746373,2673703757438,0
105,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673706288936,2673706295311,0
106,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673706353483,2673706360579,0
107,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673706417348,2673706428934,0
108,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673708260566,2673708271270,0
109,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673710070428,2673710078927,0
110,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673710140026,2673710150009,0
111,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673710206657,2673710214074,0
112,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673710811909,2673710815477,0
113,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673711426582,2673711435402,0
114,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673712068878,2673712075573,0
115,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673712629028,2673712633598,0
116,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673712691409,2673712695900,0
117,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673712750864,2673712756798,0
118,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673714562290,2673714567582,0
119,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673716342646,2673716347457,0
120,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673716406350,2673716411442,0
121,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2673716467970,2673716472781,0
122,1,1,15,15,256,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<long>, std::array<char*, 1ul>>(int, at::native::FillFunctor<long>, std::array<char*, 1ul>) (.kd)",2673946553033,2673946558766,0
123,1,1,15,15,256,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<long>, std::array<char*, 1ul>>(int, at::native::FillFunctor<long>, std::array<char*, 1ul>) (.kd)",2673946691866,2673946698201,0
124,1,1,15,15,32768,128,0,0,12,4,32,64,"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool) (.kd)",2673950431826,2673950439484,0
125,1,1,15,15,256,128,0,0,8,0,16,64,"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::'lambda'()::operator()() const::'lambda2'()::operator()() const::'lambda'(long)>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::'lambda'()::operator()() const::'lambda2'()::operator()() const::'lambda'(long), function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::'lambda'()::operator()() const::'lambda2'()::operator()() const::'lambda'(long)>::result_type*) (.kd)",2673955694038,2673955698448,0
126,1,1,15,15,256,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul>>(int, at::native::FillFunctor<float>, std::array<char*, 1ul>) (.kd)",2673955808417,2673955812306,0
127,1,1,15,15,256,256,0,0,24,0,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float>>, std::array<char*, 2ul>>(int, at::native::AUnaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float>>, std::array<char*, 2ul>) (.kd)",2673993486647,2673993494865,0
128,1,1,15,15,64,64,512,12,28,4,80,64,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::'lambda'()::operator()() const::'lambda10'()::operator()() const::'lambda'(bool, bool)>, unsigned int, bool, 4, 4>>(at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::'lambda'()::operator()() const::'lambda10'()::operator()() const::'lambda'(bool, bool)>, unsigned int, bool, 4, 4>) (.kd)",2674003530540,2674003540081,0
129,1,1,15,15,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",2674003554915,2674003571673,0
130,1,1,15,15,256,256,24576,0,56,120,112,64,"void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocprim::ROCPRIM_400200_NS::detail::wrapped_scan_config<rocprim::ROCPRIM_400200_NS::default_config, float>, (rocprim::ROCPRIM_400200_NS::detail::target_arch)942, auto auto rocprim::ROCPRIM_400200_NS::detail::scan_impl<(rocprim::ROCPRIM_400200_NS::detail::lookback_scan_determinism)0, false, false, rocprim::ROCPRIM_400200_NS::default_config, float const*, float*, float, std::plus<float>, float>(void*, unsigned long&, float const*, float*, float, unsigned long, std::plus<float>, ihipStream_t*, bool)::'lambda'(auto, auto)::operator()<std::integral_constant<bool, false>, std::integral_constant<bool, true>>(auto, auto) const::'lambda0'(auto), rocprim::ROCPRIM_400200_NS::detail::default_config_selector>(auto auto rocprim::ROCPRIM_400200_NS::detail::scan_impl<(rocprim::ROCPRIM_400200_NS::detail::lookback_scan_determinism)0, false, false, rocprim::ROCPRIM_400200_NS::default_config, float const*, float*, float, std::plus<float>, float>(void*, unsigned long&, float const*, float*, float, unsigned long, std::plus<float>, ihipStream_t*, bool)::'lambda'(auto, auto)::operator()<std::integral_constant<bool, false>, std::integral_constant<bool, true>>(auto, auto) const::'lambda0'(auto)) (.kd)",2674054509035,2674054674329,0
131,1,1,15,15,256,256,0,0,40,0,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char*, 3ul>>(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char*, 3ul>) (.kd)",2674071963729,2674072048641,0
132,1,1,15,15,256,256,0,0,24,0,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>>(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>) (.kd)",2674101673651,2674101680306,0
133,1,1,15,15,128,128,0,0,16,0,64,64,"void at::native::elementwise_kernel_manual_unroll<128, 4, void at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::'lambda1'()::operator()() const::'lambda2'()::operator()() const::'lambda'(long)>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::'lambda1'()::operator()() const::'lambda2'()::operator()() const::'lambda'(long) const&)::'lambda'(int, bool)>(int, void at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::'lambda1'()::operator()() const::'lambda2'()::operator()() const::'lambda'(long)>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::'lambda1'()::operator()() const::'lambda2'()::operator()() const::'lambda'(long) const&)::'lambda'(int, bool)) (.kd)",2674126853370,2674126873295,0
134,1,1,15,15,256,256,0,0,40,0,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<long>, std::array<char*, 2ul>>(int, at::native::CUDAFunctorOnSelf_add<long>, std::array<char*, 2ul>) (.kd)",2674126975286,2674126981500,0
135,1,1,15,15,32768,128,0,0,12,4,32,64,"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool) (.kd)",2674127037827,2674127043560,0
136,1,1,15,15,12288,256,0,0,40,0,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add<c10::Half>, std::array<char*, 3ul>>(int, at::native::CUDAFunctor_add<c10::Half>, std::array<char*, 3ul>) (.kd)",2674127071463,2674127077878,0
137,1,1,15,15,65536,256,512,0,28,4,48,64,"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<c10::Half, float, false>(int, float, c10::Half const*, c10::Half const*, c10::Half const*, float*, float*, c10::Half*) (.kd)",2674133260701,2674133279504,0
138,1,1,15,15,77824,256,0,0,12,4,48,64,"__amd_rocclr_fillBufferAligned.kd",2674133516361,2674133548834,0
139,1,1,15,15,49152,256,33792,0,96,144,96,64,"Cijk_Alik_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT32x32x256_MI16x16x1_SN_LDSB1_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMBSK_GLS0_ISA942_IU1_K1_LBSPPA1024_LBSPPB1024_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT2_2_MO40_NTn1_NTA0_NTB0_NTC0_NTD4_NTM0_NEPBS16_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW2_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA2_VWB2_WSGRA0_WSGRB0_WS64_WG16_4_4.kd",2675086637979,2675086653734,0
140,1,1,15,15,12288,256,0,0,24,0,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::AUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, std::array<char*, 2ul>>(int, at::native::AUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, std::array<char*, 2ul>) (.kd)",2675086802671,2675086810048,0
141,1,1,15,15,49152,256,33792,0,96,144,96,64,"Cijk_Alik_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT32x32x256_MI16x16x1_SN_LDSB1_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMBSK_GLS0_ISA942_IU1_K1_LBSPPA1024_LBSPPB1024_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT2_2_MO40_NTn1_NTA0_NTB0_NTC0_NTD4_NTM0_NEPBS16_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW2_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA2_VWB2_WSGRA0_WSGRB0_WS64_WG16_4_4.kd",2675086985004,2675086998916,0
